City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sur,22.5667,59.5289,85.93,63,13,6.91,OM,1632280886
Nsanje,-16.92,35.262,72.41,67,86,7.05,MW,1632280886
Gigmoto,13.7796,124.39,86.92,65,91,6.67,PH,1632280887
Ponta Delgada,37.7333,-25.6667,68.72,73,20,6.91,PT,1632280887
Jamestown,42.097,-79.2353,67.06,97,90,7.0,US,1632280731
Bac Lieu,9.285,105.7244,85.62,68,87,10.02,VN,1632280888
Guozhen,34.3659,107.359,78.57,62,99,4.63,CN,1632280888
Esperance,-33.8667,121.9,71.56,38,0,9.57,AU,1632280889
Chebarkul',54.9749,60.3633,36.9,73,7,2.98,RU,1632280889
Fuyang,32.9,115.8167,85.23,61,1,8.28,CN,1632280889
Te Anau,-45.4167,167.7167,52.36,59,8,4.12,NZ,1632280890
Port Lincoln,-34.7333,135.8667,61.47,61,73,9.37,AU,1632280890
Geraldton,-28.7667,114.6,88.21,11,0,16.11,AU,1632280891
Lagoa,39.05,-27.9833,69.75,80,0,15.01,PT,1632280891
Lorengau,-2.0226,147.2712,84.81,68,100,7.16,PG,1632280891
Bambous Virieux,-20.3428,57.7575,70.21,73,40,3.44,MU,1632280892
Redmond,47.674,-122.1215,67.91,71,11,1.01,US,1632280736
Saldanha,-33.0117,17.9442,50.05,56,10,7.85,ZA,1632280892
Lompoc,34.6391,-120.4579,72.1,95,75,0.0,US,1632280720
Vanavara,60.34,102.2797,41.54,70,52,9.26,RU,1632280893
Tālbahat,25.05,78.4333,80.94,79,10,6.13,IN,1632280893
Hermanus,-34.4187,19.2345,52.9,85,1,12.75,ZA,1632280893
Charters Towers,-20.1,146.2667,72.63,12,19,15.26,AU,1632280894
Beloha,-25.1667,45.05,64.49,96,75,4.59,MG,1632280894
Clyde River,70.4692,-68.5914,27.12,80,41,5.01,CA,1632280895
Ambon City,-3.6954,128.1814,82.54,89,40,5.75,ID,1632280895
Bulgan,48.8125,103.5347,45.93,77,100,5.97,MN,1632280895
Aksu,41.1231,80.2644,75.0,23,0,4.94,CN,1632280896
Jega,12.2175,4.3792,77.81,81,92,12.01,NG,1632280896
Talnakh,69.4865,88.3972,34.72,73,23,1.92,RU,1632280896
Oistins,13.0667,-59.5333,82.49,74,20,11.5,BB,1632280897
Xinyu,27.8043,114.9334,88.56,43,0,2.95,CN,1632280897
Bāfq,31.6128,55.4107,81.03,14,7,3.83,IR,1632280898
Half Moon Bay,37.4636,-122.4286,83.41,67,20,13.8,US,1632280898
Batagay,67.6333,134.6333,45.72,52,95,2.21,RU,1632280898
Dudinka,69.4058,86.1778,32.97,81,98,18.77,RU,1632280899
Kristiansund,63.1115,7.732,62.65,76,75,4.61,NO,1632280899
Havøysund,70.9963,24.6622,43.68,77,79,39.57,NO,1632280900
Les Cayes,18.2,-73.75,79.56,80,78,2.53,HT,1632280900
Itacoatiara,-3.1431,-58.4442,78.53,69,37,3.09,BR,1632280900
Kavieng,-2.5744,150.7967,84.69,70,71,10.0,PG,1632280901
Pacific Grove,36.6177,-121.9166,77.99,79,1,1.01,US,1632280901
Ishigaki,24.3448,124.1572,87.93,79,40,9.22,JP,1632280901
Goma,-1.6792,29.2228,64.69,82,75,6.91,CD,1632280902
Emerald,-23.5333,148.1667,73.15,16,0,17.94,AU,1632280902
Kichera,55.9375,110.0997,48.33,54,13,3.44,RU,1632280903
Bethel,41.3712,-73.414,70.11,89,90,0.0,US,1632280778
Khatanga,71.9667,102.5,34.86,85,100,15.55,RU,1632280903
West Bay,19.3667,-81.4167,84.27,82,20,1.01,KY,1632280808
Muros,42.7762,-9.0603,61.99,79,23,16.55,ES,1632280904
Finschhafen,-6.6024,147.8681,83.39,71,100,9.13,PG,1632280904
Puerto Ayora,-0.7393,-90.3518,68.56,90,44,7.0,EC,1632280904
Mayachnyy,52.6839,55.685,46.78,40,100,8.72,RU,1632280905
Pascagoula,30.3658,-88.5561,77.23,91,1,0.0,US,1632280905
Meulaboh,4.1363,96.1285,81.25,74,100,2.04,ID,1632280905
Oussouye,12.485,-16.5469,82.49,88,57,5.91,SN,1632280906
Mayo,38.8876,-76.5119,74.25,90,75,7.0,US,1632280906
Jutaí,-5.1833,-68.9,73.09,95,66,2.46,BR,1632280907
Tessaoua,13.7574,7.9874,84.18,54,100,8.79,NE,1632280907
Lakatoro,-16.0999,167.4164,82.26,67,39,5.41,VU,1632280907
Lyuban',52.7985,28.0048,40.32,96,100,9.75,BY,1632280908
Mnogovershinnyy,53.9353,139.9242,48.97,55,45,7.07,RU,1632280908
Qaanaaq,77.484,-69.3632,9.3,74,0,8.75,GL,1632280909
Saint George,37.1041,-113.5841,80.94,18,1,1.01,US,1632280861
Cherskiy,68.75,161.3,35.8,42,100,8.57,RU,1632280909
Hong Kong,22.2855,114.1577,91.45,70,53,1.99,HK,1632280910
Sumter,28.7086,-82.0831,76.1,88,100,9.75,US,1632280910
Zatoka,46.0725,30.4654,46.94,68,53,15.82,UA,1632280911
Saskylakh,71.9167,114.0833,35.4,95,100,9.24,RU,1632280911
Oga,46.4631,10.347,46.69,77,7,4.27,IT,1632280912
Khurda,20.1833,85.6167,82.31,75,59,1.34,IN,1632280912
Vostok,46.4856,135.8833,54.01,97,100,1.63,RU,1632280913
Tolaga Bay,-38.3667,178.3,62.73,62,100,5.91,NZ,1632280913
Nichinan,31.6,131.3667,85.68,65,84,7.2,JP,1632280913
Upernavik,72.7868,-56.1549,20.53,53,99,5.59,GL,1632280914
Januária,-15.4833,-44.3667,83.97,33,84,1.59,BR,1632280914
Mariinskiy Posad,56.115,47.718,45.54,61,98,12.84,RU,1632280914
Nhulunbuy,-12.2333,136.7667,81.21,47,20,24.16,AU,1632280915
Jambi City,-1.6,103.6167,85.62,63,84,5.53,ID,1632280915
Savannah Bight,16.45,-85.85,82.0,74,30,11.03,HN,1632280916
Kyshtovka,56.555,76.6271,36.5,99,100,7.7,RU,1632280916
Pouébo,-20.4,164.5667,80.1,54,85,13.33,NC,1632280916
Deputatsky,69.3,139.9,36.55,58,100,1.92,RU,1632280917
Comodoro Rivadavia,-45.8667,-67.5,67.86,17,0,13.8,AR,1632280804
João Câmara,-5.5375,-35.8197,74.44,96,6,6.98,BR,1632280917
Kushmurun,52.4503,64.6311,40.89,63,34,4.27,KZ,1632280918
Uíge,-7.6087,15.0613,66.33,91,84,3.24,AO,1632280918
Cabo San Lucas,22.8909,-109.9124,83.61,86,98,4.03,MX,1632280822
Narsaq,60.9167,-46.05,37.62,78,100,2.24,GL,1632280918
Acaraú,-2.8856,-40.12,77.31,84,8,12.41,BR,1632280919
Grand Gaube,-20.0064,57.6608,70.38,64,5,1.99,MU,1632280919
Ibrā’,22.6906,58.5334,80.06,65,14,3.15,OM,1632280920
Wakkanai,45.4094,141.6739,67.98,94,75,8.05,JP,1632280920
Natal,-5.795,-35.2094,75.85,94,20,4.61,BR,1632280920
Flinders,-34.5833,150.8552,69.19,50,7,8.99,AU,1632280921
Blairmore,49.6,-114.4353,58.12,71,46,4.61,CA,1632280921
Waipawa,-41.4122,175.5153,54.45,68,100,7.16,NZ,1632280922
Laguna,38.421,-121.4238,86.31,37,1,0.0,US,1632280922
Baoro,5.6667,15.9667,67.57,96,100,2.13,CF,1632280922
Dingle,10.9995,122.6711,83.41,74,86,4.97,PH,1632280923
Mehamn,71.0357,27.8492,39.15,75,0,31.07,NO,1632280923
Seydi,39.4816,62.9137,64.63,16,0,9.55,TM,1632280924
Orlik,52.5178,99.825,38.88,61,100,4.36,RU,1632280924
Sisimiut,66.9395,-53.6735,28.81,77,23,6.4,GL,1632280924
Olinda,-8.0089,-34.8553,76.73,73,40,4.61,BR,1632280925
Bathsheba,13.2167,-59.5167,83.01,74,20,11.5,BB,1632280925
Ayagoz,47.9714,80.4392,39.61,55,5,12.91,KZ,1632280926
Katsuura,35.1333,140.3,78.91,81,98,14.25,JP,1632280926
Besuki,-7.7338,113.6979,85.57,60,97,7.05,ID,1632280927
La Libertad,-2.2333,-80.9,71.26,88,40,9.22,EC,1632280927
Krasnosel'kup,65.7,82.4667,33.51,74,100,16.73,RU,1632280927
North Vanlaiphai,23.1333,93.0667,72.25,67,93,0.74,IN,1632280755
Atbasar,51.8,68.3333,38.17,62,30,4.16,KZ,1632280928
Middleton,53.55,-2.2,56.91,94,81,3.51,GB,1632280928
Kruisfontein,-34.0033,24.7314,46.6,86,4,4.65,ZA,1632280929
Seymchan,62.8833,152.4333,39.33,81,22,2.8,RU,1632280929
Kisangani,0.5167,25.2,67.91,97,89,2.3,CD,1632280929
Cheney,47.4874,-117.5758,64.42,49,20,5.75,US,1632280930
Chara,56.9064,118.2631,53.85,81,100,3.27,RU,1632280930
Kavaratti,10.5669,72.642,81.81,79,93,16.37,IN,1632280931
Airai,-8.9266,125.4092,70.05,49,94,6.71,TL,1632280931
Bereda,43.2686,-7.5406,58.91,100,59,6.08,ES,1632280932
Kiryat Gat,31.61,34.7642,76.41,76,0,3.56,IL,1632280740
Belmonte,-15.8631,-38.8828,73.9,87,26,13.42,BR,1632280932
Split,43.5089,16.4392,60.91,36,0,8.05,HR,1632280762
Mareeba,-17.0,145.4333,78.44,43,51,8.34,AU,1632280933
Pisco,-13.7,-76.2167,62.02,82,0,14.97,PE,1632280933
Christchurch,-43.5333,172.6333,57.9,59,90,5.01,NZ,1632280688
Shizunai-furukawachō,42.3339,142.3669,71.19,79,94,10.78,JP,1632280933
Fairbanks,64.8378,-147.7164,37.6,61,75,8.05,US,1632280934
Lianzhou,24.7811,112.3825,84.49,75,99,1.92,CN,1632280804
Prince Rupert,54.3161,-130.3201,55.49,92,90,4.61,CA,1632280738
Nioro,13.35,-15.75,76.75,95,26,5.17,GM,1632280935
Scarborough,54.2797,-0.4044,58.08,87,88,10.83,GB,1632280935
Montclair,40.8259,-74.209,72.37,92,90,4.61,US,1632280929
San Cristobal,7.7669,-72.225,65.55,96,86,2.84,VE,1632280936
Byron Bay,-28.65,153.6167,74.05,51,65,19.19,AU,1632280936
Ixtapa,20.7,-105.2,83.23,84,99,1.01,MX,1632280936
Souillac,-20.5167,57.5167,70.36,73,40,3.44,MU,1632280937
Nanortalik,60.1432,-45.2371,35.08,83,100,12.06,GL,1632280937
Tual,-5.6667,132.75,80.33,81,87,21.9,ID,1632280937
Buinsk,54.95,48.2833,48.09,50,99,15.66,RU,1632280938
Ketchikan,55.3422,-131.6461,54.07,94,90,5.75,US,1632280705
Pangai,-19.8,-174.35,77.11,73,75,13.8,TO,1632280938
Namatanai,-3.6667,152.4333,83.62,73,99,7.81,PG,1632280939
Husavik,66.0449,-17.3389,35.51,92,100,26.28,IS,1632280939
Bhīmunipatnam,17.8833,83.4333,83.71,73,100,1.63,IN,1632280940
Bakel,14.905,-12.4568,82.26,74,80,12.12,SN,1632280940
Conceição do Araguaia,-8.2578,-49.2647,83.95,34,73,2.91,BR,1632280940
Almeirim,-1.5233,-52.5817,75.04,90,45,4.79,BR,1632280941
Ammon,43.4696,-111.9666,54.82,60,1,3.0,US,1632280941
Zaoyang,32.1272,112.7542,86.25,53,3,12.24,CN,1632280942
Gouré,13.9835,10.2704,81.01,38,100,4.18,NE,1632280942
Puerto del Rosario,28.5004,-13.8627,73.15,64,32,12.66,ES,1632280942
Honiara,-9.4333,159.95,83.86,75,31,3.85,SB,1632280943
Quzhou,28.9594,118.8686,86.13,49,0,1.52,CN,1632280943
Barranca,-10.75,-77.7667,60.96,88,70,7.74,PE,1632280943
Beberibe,-4.1797,-38.1306,80.64,86,26,10.33,BR,1632280944
Beşikdüzü,41.052,39.2284,67.89,90,99,12.24,TR,1632280944
Kaeo,-35.1,173.7833,65.32,80,66,17.54,NZ,1632280944
Provideniya,64.3833,-173.3,35.71,60,75,8.95,RU,1632280945
Tawao,4.2498,117.8871,86.13,73,85,5.28,MY,1632280945
Hasaki,35.7333,140.8333,82.8,82,79,14.58,JP,1632280945
San Quintín,30.4833,-115.95,72.77,75,0,8.99,MX,1632280946
Mahébourg,-20.4081,57.7,70.25,73,40,3.44,MU,1632280946
Doha,25.2867,51.5333,85.98,53,0,6.91,QA,1632280925
Kuril'sk,45.2333,147.8833,60.71,89,100,13.33,RU,1632280947
Batemans Bay,-35.7167,150.1833,72.19,44,8,7.96,AU,1632280947
Vaitape,-16.5167,-151.75,78.96,69,10,4.14,PF,1632280947
Muswellbrook,-32.2667,150.9,65.8,35,6,1.88,AU,1632280948
Vestmanna,62.1564,-7.1664,49.12,81,75,20.71,FO,1632280948
Yichang,30.7144,111.2847,88.18,44,4,1.54,CN,1632280949
Conakry,9.538,-13.6773,77.36,84,90,6.67,GN,1632280949
Ostrovnoy,68.0531,39.5131,34.25,87,3,11.45,RU,1632280949
Port Hardy,50.6996,-127.4199,53.78,94,90,0.0,CA,1632280950
Nantucket,41.2835,-70.0995,70.02,88,75,8.05,US,1632280950
Monrovia,6.3005,-10.7969,77.54,86,95,5.84,LR,1632280951
Barraute,48.4335,-77.6328,52.07,96,100,9.42,CA,1632280951
Moa,20.6569,-74.9403,80.46,87,21,10.02,CU,1632280951
Matadi,-5.8167,13.45,75.94,79,86,7.76,CD,1632280952
Severo-Kuril'sk,50.6789,156.125,52.16,73,71,12.26,RU,1632280952
High Level,58.5169,-117.136,51.91,71,75,2.3,CA,1632280952
Koslan,63.4564,48.8989,32.85,85,15,3.53,RU,1632280953
Impfondo,1.6381,18.0667,70.68,99,100,1.63,CG,1632280953
Bud,39.447,-86.1758,67.12,97,100,11.88,US,1632280953
Wajima,37.4,136.9,77.68,88,75,13.8,JP,1632280954
São João da Barra,-21.6403,-41.0511,71.91,76,42,25.99,BR,1632280954
Coyhaique,-45.5752,-72.0662,46.35,81,0,8.05,CL,1632280955
Natá,8.3333,-80.5167,76.46,90,100,5.46,PA,1632280955
Eilat,29.5581,34.9482,78.64,47,0,13.8,IL,1632280955
Bernalillo,35.05,-106.6673,70.54,32,1,5.01,US,1632280956
Rohatyn,49.409,24.6093,45.45,84,100,9.95,UA,1632280956
Sitka,57.0531,-135.33,53.49,62,75,16.11,US,1632280956
Richards Bay,-28.783,32.0377,62.67,68,100,7.31,ZA,1632280957
Preobrazheniye,42.9019,133.9064,71.26,75,13,7.92,RU,1632280957
Bontang,0.1333,117.5,76.01,85,100,2.89,ID,1632280958
Kingston,17.997,-76.7936,81.55,90,20,1.01,JM,1632280958
Cascais,38.6979,-9.4215,70.47,44,0,8.01,PT,1632280958
Ordzhonīkīdze,52.4411,61.7408,42.22,53,28,4.09,KZ,1632280959
Khairāgarh,26.95,77.8167,85.57,66,26,8.57,IN,1632280959
Soyo,-6.1349,12.3689,74.55,84,98,7.2,AO,1632280959
Karratha,-20.7377,116.8463,86.49,17,100,25.66,AU,1632280960
Cardston,49.2,-113.3019,62.46,50,17,9.44,CA,1632280823
Inverell,-29.7833,151.1167,64.11,30,0,7.0,AU,1632280960
Isangel,-19.55,169.2667,87.91,58,75,5.75,VU,1632280961
Kashan,33.9831,51.4364,75.69,18,0,8.93,IR,1632280961
Dunedin,-45.8742,170.5036,56.8,66,5,8.01,NZ,1632280962
Río Gallegos,-51.6226,-69.2181,44.65,87,0,4.61,AR,1632280962
Cabañas,22.9758,-82.9219,81.07,88,98,8.7,CU,1632280962
Puqi,29.7167,113.8833,88.29,50,0,2.46,CN,1632280963
Sibolga,1.7427,98.7792,85.26,61,51,2.93,ID,1632280963
Abéché,13.8292,20.8324,78.71,63,91,7.47,TD,1632280963
Virginia Beach,36.8529,-75.978,77.05,90,90,1.01,US,1632280846
Kalabo,-14.97,22.6814,66.94,21,20,3.2,ZM,1632280964
Tochio-honchō,37.4667,139.0,73.8,55,35,3.85,JP,1632280964
Beni,0.5,29.4667,61.23,99,84,0.49,CD,1632280965
Sijunjung,-0.6876,100.9537,85.17,62,81,0.43,ID,1632280965
Mathbaria,22.2876,89.9593,77.72,92,100,6.04,BD,1632280965
Moree,-29.4667,149.85,66.22,24,0,14.97,AU,1632280966
Bayshore Gardens,27.4253,-82.5904,78.15,75,99,16.58,US,1632280967
Ahipara,-35.1667,173.1667,64.2,75,95,20.13,NZ,1632280967
Piancó,-7.1981,-37.9292,80.49,49,16,11.81,BR,1632280967
Campbell River,50.0163,-125.2446,56.73,96,75,0.0,CA,1632280922
Hamadan,34.7992,48.5146,60.69,28,0,3.67,IR,1632280968
Zhengjiatun,43.5064,123.5064,54.95,91,100,14.32,CN,1632280968
Erdenet,49.0333,104.0833,44.1,77,100,6.46,MN,1632280969
Marystown,47.1666,-55.1483,56.35,87,0,12.48,CA,1632280969
Codrington,-38.2667,141.9667,58.95,71,96,13.02,AU,1632280970
Gambo,4.6482,22.2633,67.42,99,100,2.13,CF,1632280970
Mangaratiba,-22.9597,-44.0406,70.66,89,98,11.36,BR,1632280971
Tautira,-17.7333,-149.15,80.62,74,5,9.28,PF,1632280971
Japura,-0.3167,102.35,86.52,60,35,4.34,ID,1632280971
Vila Velha,-20.3297,-40.2925,75.15,78,75,20.71,BR,1632280972
Aden,12.7794,45.0367,85.32,74,56,9.55,YE,1632280972
Nome,64.5011,-165.4064,39.27,49,90,10.36,US,1632280711
Tumut,-35.3,148.2167,56.39,63,3,6.04,AU,1632280973
Baykit,61.67,96.37,37.38,99,100,4.27,RU,1632280973
